docid,best_match,score
164000170.pdf_77,enea-overview-of-the-biomethane-sector-in-france.pdf_40,0.318359375
164000170.pdf_79,catalogue_solutions_laboretd_edf_en.pdf_27,0.376953125
164000170.pdf_84,Garve-District-Community-Development-2019-2024.pdf_11,0.376953125
164000170.pdf_89,Garve-District-Community-Development-2019-2024.pdf_1,0.388671875
164000170.pdf_90,Garve-District-Community-Development-2019-2024.pdf_1,0.380859375
164000170.pdf_91,catalogue_solutions_laboretd_edf_en.pdf_30,0.330078125
164000170.pdf_92,catalogue_solutions_laboretd_edf_en.pdf_149,0.328125
164000170.pdf_94,Garve-District-Community-Development-2019-2024.pdf_1,0.4140625
164000170.pdf_99,PPE-Executive summary.pdf_31,0.482421875
174000644.pdf_1,Energy pathways 2050_Key results.pdf_9,0.412109375
174000644.pdf_4,Energy pathways 2050_Key results.pdf_3,0.384765625
174000644.pdf_6,Energy pathways 2050_Key results.pdf_20,0.423828125
174000644.pdf_7,Energy pathways 2050_Key results.pdf_20,0.35546875
174000644.pdf_9,4pages_PPE_GB_DEF_Web.pdf_2,0.33203125
174000644.pdf_14,PPE-Executive summary.pdf_28,0.390625
174000644.pdf_16,PPE-Executive summary.pdf_28,0.453125
174000644.pdf_17,DP_Paris_deep_decarbonisation_EN.pdf_8,0.390625
174000644.pdf_19,PPE-Executive summary.pdf_28,0.369140625
174000644.pdf_24,Energy pathways 2050_Key results.pdf_48,0.46875
174000644.pdf_26,PPE-Executive summary.pdf_10,0.439453125
174000644.pdf_29,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.41796875
174000644.pdf_34,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_0,0.416015625
174000644.pdf_35,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.416015625
174000644.pdf_36,Cruachan-July-30-2024-Final-1.pdf_6,0.4765625
174000644.pdf_37,Energy pathways 2050_Key results.pdf_53,0.43359375
174000644.pdf_39,MS on cleanTech July2023-67e7048b-dd11-4495-96ca-057a9fe3f853.pdf_17,0.4296875
174000644.pdf_41,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_7,0.40625
174000644.pdf_42,16 ENGIE Colloque Stockage ATEE 5 oct2023.pdf_14,0.61328125
174000644.pdf_44,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.41015625
174000644.pdf_49,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.359375
174000644.pdf_51,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_2,0.28515625
174000644.pdf_54,France NPF (EN).pdf_17,0.51171875
174000644.pdf_57,France NPF (EN).pdf_17,0.359375
174000644.pdf_59,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.46875
174000644.pdf_64,cepInput_Energy_Taxation_in_France.pdf_7,0.400390625
174000644.pdf_66,France NPF (EN).pdf_5,0.494140625
174000644.pdf_69,enea-overview-of-the-biomethane-sector-in-france.pdf_11,0.298828125
174000644.pdf_72,DP_Paris_deep_decarbonisation_EN.pdf_17,0.625
